"Authors","Author full names","Author(s) ID","Title","Year","Link","EID"
"Sanchez-Gendriz I.; Carvalho D.D.A.; Galvão-Lima L.J.; Sales-Moioli A.I.L.; Brito T.; Fernandes F.; Henriques J.; Lima T.; Guedes L.A.; Cruz A.S.; Morais A.H.F.; Santos J.P.Q.; Arrais E.; Coutinho K.D.; Machado G.M.; Cunha-Oliveira A.; dos Reis Vale Gomes C.A.; Valentim R.A.M.","Sanchez-Gendriz, Ignacio (56495540200); Carvalho, Dionísio D.A. (57735564000); Galvão-Lima, Leonardo J. (57190952645); Sales-Moioli, Ana Isabela Lopes (57454533800); Brito, Talita (58181061200); Fernandes, Felipe (57208327846); Henriques, Jorge (59276747600); Lima, Thaisa (57226123657); Guedes, Luiz Affonso (35761038800); Cruz, Agnaldo S. (56022953900); Morais, Antonio H.F. (25626432200); Santos, João Paulo Q. (57694054600); Arrais, Ernano (56315553900); Coutinho, Karilany Dantas (57221871955); Machado, Guilherme Medeiros (57220480392); Cunha-Oliveira, Aliete (57212134830); dos Reis Vale Gomes, Catarina Alexandra (58978941700); Valentim, Ricardo A.M. (57815338500)","56495540200; 57735564000; 57190952645; 57454533800; 58181061200; 57208327846; 59276747600; 57226123657; 35761038800; 56022953900; 25626432200; 57694054600; 56315553900; 57221871955; 57220480392; 57212134830; 58978941700; 57815338500","Digital dual test syphilis/HIV detection based on Fourier Descriptors of Cyclic Voltammetry curves","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189930688&doi=10.1016%2fj.compbiomed.2024.108454&partnerID=40&md5=51b42b950f9a83f2d813b2ab1155bb7c","2-s2.0-85189930688"
"Brasil J.; Maitelli C.; Nascimento J.; Chiavone-Filho O.; Galvão E.","Brasil, Jéssica (58054928500); Maitelli, Carla (57163638400); Nascimento, João (24725329000); Chiavone-Filho, Osvaldo (6601905641); Galvão, Edney (35145785000)","58054928500; 57163638400; 24725329000; 6601905641; 35145785000","Diagnosis of Operating Conditions of the Electrical Submersible Pump via Machine Learning","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145978679&doi=10.3390%2fs23010279&partnerID=40&md5=fa365edf4e9afb171ca69476ac1ffeaa","2-s2.0-85145978679"
"Fontoura L.C.M.M.; De Castro Lins H.W.; Bertuleza A.S.; D'assunção A.G.; Neto A.G.","Fontoura, Leidiane C. M. M. (57226283044); De Castro Lins, Hertz Wilton (57222580164); Bertuleza, Arthur S. (57226270936); D'assunção, Adaildo Gomes (7004474343); Neto, Alfrêdo Gomes (6603647208)","57226283044; 57222580164; 57226270936; 7004474343; 6603647208","Synthesis of Multiband Frequency Selective Surfaces Using Machine Learning with the Decision Tree Algorithm","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111075355&doi=10.1109%2fACCESS.2021.3086777&partnerID=40&md5=f64cc86fef84b155cc7b0d5691007d60","2-s2.0-85111075355"
"Barbalho R.; Rodrigues S.; Tenorio M.; Menezes J.","Barbalho, R. (58079180000); Rodrigues, S. (57667393800); Tenorio, M. (57453652400); Menezes, J. (13805898100)","58079180000; 57667393800; 57453652400; 13805898100","Ambush strategy enhances organisms’ performance in rock–paper–scissors games","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192898840&doi=10.1016%2fj.biosystems.2024.105229&partnerID=40&md5=3cc6b7b1b0e6448f04157a373ead662f","2-s2.0-85192898840"
"Barreto C.A.S.; Gorgonio A.C.; Xavier-Junior J.C.; De Paula Canuto A.M.","Barreto, Cephas A. S. (57195322096); Gorgonio, Arthur Costa (57203487741); Xavier-Junior, Joao C. (56366404800); De Paula Canuto, Anne Magaly (15022041200)","57195322096; 57203487741; 56366404800; 15022041200","Applying Efficient Selection Techniques of Unlabeled Instances for Wrapper-Based Semi-Supervised Methods","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129211850&doi=10.1109%2fACCESS.2022.3169498&partnerID=40&md5=45828071aa98ca6e3d84f84e5480a283","2-s2.0-85129211850"
"L. S. Ferreira R.; A. S. Anjos M.; Maia C.; Pinto L.; R. G. de Azevedo A.; de Brito J.","L. S. Ferreira, Ruan (57224946123); A. S. Anjos, Marcos (51565394700); Maia, Cinthia (57212027598); Pinto, Licarion (56770701100); R. G. de Azevedo, Afonso (57218164219); de Brito, Jorge (7003285554)","57224946123; 51565394700; 57212027598; 56770701100; 57218164219; 7003285554","Long-term analysis of the physical properties of the mixed recycled aggregate and their effect on the properties of mortars","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097777459&doi=10.1016%2fj.conbuildmat.2020.121796&partnerID=40&md5=877b51da5c23b3156d952599a4c48767","2-s2.0-85097777459"
"Santana F.; Bedregal B.; Viana P.; Bustince H.","Santana, Fagner (51061387700); Bedregal, Benjamin (15520790700); Viana, Petrucio (20435104200); Bustince, Humberto (55034746100)","51061387700; 15520790700; 20435104200; 55034746100","On admissible orders over closed subintervals of [0,1]","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081250474&doi=10.1016%2fj.fss.2020.02.009&partnerID=40&md5=0f3eaf5464fc79d659474958fc1a4602","2-s2.0-85081250474"
"Costa E.L.R.; Braga T.; Dias L.A.; Albuquerque É.L.D.; Fernandes M.A.C.","Costa, Emanoel L. R. (57650185400); Braga, Taiane (57884868400); Dias, Leonardo A. (57216084309); Albuquerque, Édler L. de (26022989800); Fernandes, Marcelo A. C. (7202947679)","57650185400; 57884868400; 57216084309; 26022989800; 7202947679","Analysis of Atmospheric Pollutant Data Using Self-Organizing Maps","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137673384&doi=10.3390%2fsu141610369&partnerID=40&md5=7b1d6069fdd6344d77b63a73fa8160d7","2-s2.0-85137673384"
"Camelo H.D.N.; Lucio P.S.; Leal Junior J.B.V.; Carvalho P.C.M.D.; Santos D.V.G.D.","Camelo, Henrique do Nascimento (57199855857); Lucio, Paulo Sérgio (55963139800); Leal Junior, João Bosco Verçosa (26027088000); Carvalho, Paulo Cesar Marques de (8656215800); Santos, Daniel von Glehn dos (57201740720)","57199855857; 55963139800; 26027088000; 8656215800; 57201740720","Innovative hybrid models for forecasting time series applied in wind generation based on the combination of time series models with artificial neural networks","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046040307&doi=10.1016%2fj.energy.2018.03.077&partnerID=40&md5=269782c4918a6c8e78c2504417b1dca0","2-s2.0-85046040307"
"Costa V.S.; Farias A.D.S.; Bedregal B.; Santiago R.H.N.; Canuto A.M.D.P.","Costa, Valdigleis S. (57193627916); Farias, Antonio Diego S. (57192556588); Bedregal, Benjamin (15520790700); Santiago, Regivan H.N. (7006674404); Canuto, Anne Magaly de P. (15022041200)","57193627916; 57192556588; 15520790700; 7006674404; 15022041200","Combining multiple algorithms in classifier ensembles using generalized mixture functions","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049534332&doi=10.1016%2fj.neucom.2018.06.021&partnerID=40&md5=3d4ee3ecb360d9cc47353fdc3d68bb0d","2-s2.0-85049534332"
